week_end,pruid,prename,prfname,numtotal_atleast1dose,numtotal_partially,numtotal_fully,numtotal_onlyfully,numtotal_additional,numtotal_1additional,numtotal_2nd_additional,numtotal_recommended_vax,numtotal_vax_interest,proptotal_atleast1dose,proptotal_partially,proptotal_fully,proptotal_onlyfully,proptotal_additional,proptotal_1additional,proptotal_2nd_additional,proptotal_recommended_vax,proptotal_vax_interest,num18plus_atleast1dose,num18plus_partially,num18plus_fully,num18plus_onlyfully,num18plus_additional,num18plus_1additional,num18plus_2nd_additional,num18plus_recommended_vax,num18plus_vax_interest,prop18plus_atleast1dose,prop18plus_partially,prop18plus_fully,prop18plus_onlyfully,prop18plus_additional,prop18plus_1additional,prop18plus_2nd_additional,prop18plus_recommended_vax,prop18plus_vax_interest,num5plus_atleast1dose,num5plus_partially,num5plus_fully,num5plus_onlyfully,num5plus_additional,num5plus_1additional,num5plus_2nd_additional,num5plus_recommended_vax,num5plus_vax_interest,prop5plus_atleast1dose,prop5plus_partially,prop5plus_fully,prop5plus_onlyfully,prop5plus_additional,prop5plus_1additional,prop5plus_2nd_additional,prop5plus_recommended_vax,prop5plus_vax_interest,num12plus_atleast1dose,num12plus_partially,num12plus_fully,num12plus_onlyfully,num12plus_additional,num12plus_1additional,num12plus_2nd_additional,num12plus_recommended_vax,num12plus_vax_interest,prop12plus_atleast1dose,prop12plus_partially,prop12plus_fully,prop12plus_onlyfully,prop12plus_additional,prop12plus_1additional,prop12plus_2nd_additional,prop12plus_recommended_vax,prop12plus_vax_interest
2020-12-19,1,Canada,Canada,12368,12368,0,,,,,,,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,972,972,0,,,,,,,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,1092,1092,0,,,,,,,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,24,Quebec,Québec,4728,4728,0,,,,,,,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,46,Manitoba,Manitoba,894,894,0,,,,,,,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,1048,1048,0,,,,,,,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,3634,3634,0,,,,,,,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,60,Yukon,Yukon,0,0,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,62,Nunavut,Nunavut,0,0,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
